"filename", "language", "XMake", "JSON", "Lua", "Markdown", "C++", "YAML", "comment", "blank", "total"
"f:\Project\levilamina\26.10.x\CoralFans\.github\ISSUE_TEMPLATE\bug_report.yml", "YAML", 0, 0, 0, 0, 0, 47, 0, 9, 56
"f:\Project\levilamina\26.10.x\CoralFans\.github\ISSUE_TEMPLATE\feature_request.yml", "YAML", 0, 0, 0, 0, 0, 25, 0, 4, 29
"f:\Project\levilamina\26.10.x\CoralFans\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 9, 19
"f:\Project\levilamina\26.10.x\CoralFans\.github\workflows\build.yml", "YAML", 0, 0, 0, 0, 0, 36, 12, 11, 59
"f:\Project\levilamina\26.10.x\CoralFans\.github\workflows\release.yml", "YAML", 0, 0, 0, 0, 0, 64, 0, 17, 81
"f:\Project\levilamina\26.10.x\CoralFans\CHANGELOG.md", "Markdown", 0, 0, 0, 141, 0, 0, 0, 92, 233
"f:\Project\levilamina\26.10.x\CoralFans\README.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 14, 31
"f:\Project\levilamina\26.10.x\CoralFans\manifest.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 12
"f:\Project\levilamina\26.10.x\CoralFans\scripts\after_build.lua", "Lua", 0, 0, 105, 0, 0, 0, 1, 19, 125
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\Config.h", "C++", 0, 0, 0, 0, 218, 0, 3, 23, 244
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\CoralFans.cpp", "C++", 0, 0, 0, 0, 86, 0, 5, 23, 114
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\CoralFans.h", "C++", 0, 0, 0, 0, 27, 0, 6, 19, 52
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\MemoryOperators.cpp", "C++", 0, 0, 0, 0, 2, 0, 2, 3, 7
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\base\Macros.h", "C++", 0, 0, 0, 0, 36, 0, 1, 4, 41
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\base\MySchedule.h", "C++", 0, 0, 0, 0, 81, 0, 0, 8, 89
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\base\Utils.cpp", "C++", 0, 0, 0, 0, 115, 0, 0, 13, 128
